label;usage_split;attribution;application;filename
0-9 kHz;C;Not allocated;Inductive applications;B06-24-1-1
9-14 kHz;S;Not allocated;Ultra Low Power Active Medical Implants;B14-01-2-2
9-14 kHz;S;Not allocated;On-site paging;A03-01-2-1
9-14 kHz;S;Not allocated;Inductive applications;B06-01-3-1
14-19.95 kHz;S;MARITIME MOBILE;Ultra Low Power Active Medical Implants;B14-01-2-2
14-19.95 kHz;S;MARITIME MOBILE;On-site paging;A03-01-2-1
14-19.95 kHz;S;MARITIME MOBILE;Inductive applications;B06-01-3-1
14-19.95 kHz;S;MARITIME MOBILE;Maritime military systems;
19.95-20.05 kHz;S;Not allocated;Ultra Low Power Active Medical Implants;B14-01-2-2
19.95-20.05 kHz;S;Not allocated;On-site paging;A03-01-2-1
19.95-20.05 kHz;S;Not allocated;Inductive applications;B06-01-3-1
20.05-70 kHz;S;FIXED;Ultra Low Power Active Medical Implants;B14-01-2-2
20.05-70 kHz;S;FIXED;On-site paging;A03-01-2-1
20.05-70 kHz;S;FIXED;Inductive applications (9-59.75 kHz);B06-01-3-1
20.05-70 kHz;S;FIXED;Maritime military systems;
20.05-70 kHz;S;FIXED;Point-to-Point;
20.05-70 kHz;S;FIXED;Inductive applications (59.75-60.25 kHz);B06-02-3-1
20.05-70 kHz;S;FIXED;Inductive applications (60.25-74.75 kHz);B06-03-3-1
20.05-70 kHz;S;MARITIME MOBILE;Ultra Low Power Active Medical Implants;B14-01-2-2
20.05-70 kHz;S;MARITIME MOBILE;On-site paging;A03-01-2-1
20.05-70 kHz;S;MARITIME MOBILE;Inductive applications (9-59.75 kHz);B06-01-3-1
20.05-70 kHz;S;MARITIME MOBILE;Maritime military systems;
20.05-70 kHz;S;MARITIME MOBILE;Point-to-Point;
20.05-70 kHz;S;MARITIME MOBILE;Inductive applications (59.75-60.25 kHz);B06-02-3-1
20.05-70 kHz;S;MARITIME MOBILE;Inductive applications (60.25-74.75 kHz);B06-03-3-1
70-72 kHz;S;Not allocated;Ultra Low Power Active Medical Implants;B14-01-2-2
70-72 kHz;S;Not allocated;On-site paging;A03-01-2-1
70-72 kHz;S;Not allocated;Inductive applications;B06-03-3-1
72-84 kHz;S;FIXED;Ultra Low Power Active Medical Implants;B14-01-2-2
72-84 kHz;S;FIXED;On-site paging;A03-01-2-1
72-84 kHz;S;FIXED;Inductive applications (60.25-74.75 kHz);B06-03-3-1
72-84 kHz;S;FIXED;Point-to-Point;
72-84 kHz;S;FIXED;Inductive applications (74.75-75.25 kHz);B06-04-3-1
72-84 kHz;S;FIXED;Inductive applications (75.25-77.25 kHz);B06-05-3-1
72-84 kHz;S;FIXED;Inductive applications (77.25-77.75 kHz);B06-06-3-1
72-84 kHz;S;FIXED;Inductive applications (77.75-90 kHz);B06-07-3-1
84-130 kHz;S;Not allocated;Ultra Low Power Active Medical Implants;B14-01-2-2
84-130 kHz;S;Not allocated;On-site paging;A03-01-2-1
84-130 kHz;S;Not allocated;Inductive applications (77.75-90 kHz);B06-07-3-1
84-130 kHz;S;Not allocated;Inductive applications (90-119 kHz);B06-08-3-1
84-130 kHz;S;Not allocated;Inductive applications (119-128.6 kHz);B06-09-3-1
84-130 kHz;S;Not allocated;Inductive applications (128.6-129.6 kHz);B06-10-3-1
84-130 kHz;S;Not allocated;Inductive applications (129.6-135 kHz);B06-11-3-1
130-135.7 kHz;S;FIXED;Ultra Low Power Active Medical Implants;B14-01-2-2
130-135.7 kHz;S;FIXED;On-site paging;A03-01-2-1
130-135.7 kHz;S;FIXED;Inductive applications (129.6-135 kHz);B06-11-3-1
130-135.7 kHz;S;FIXED;Point-to-Point;
130-135.7 kHz;S;FIXED;Inductive applications (135-140 kHz);B06-12-3-1
135.7-137.8 kHz;S;FIXED;Ultra Low Power Active Medical Implants;B14-01-2-2
135.7-137.8 kHz;S;FIXED;On-site paging;A03-01-2-1
135.7-137.8 kHz;S;FIXED;Point-to-Point;
135.7-137.8 kHz;S;FIXED;Inductive applications;B06-12-3-1
135.7-137.8 kHz;S;FIXED;Amateur;D02-01-1-1
135.7-137.8 kHz;S;Amateur;Ultra Low Power Active Medical Implants;B14-01-2-2
135.7-137.8 kHz;S;Amateur;On-site paging;A03-01-2-1
135.7-137.8 kHz;S;Amateur;Point-to-Point;
135.7-137.8 kHz;S;Amateur;Inductive applications;B06-12-3-1
135.7-137.8 kHz;S;Amateur;Amateur;D02-01-1-1
137.8-148.5 kHz;S;FIXED;Ultra Low Power Active Medical Implants;B14-01-2-2
137.8-148.5 kHz;S;FIXED;On-site paging;A03-01-2-1
137.8-148.5 kHz;S;FIXED;Point-to-Point;
137.8-148.5 kHz;S;FIXED;Inductive applications (135-140 kHz);B06-12-3-1
137.8-148.5 kHz;S;FIXED;Inductive applications (140-148.5 kHz);B06-13-3-1
148.5-255 kHz;C;Not allocated;Ultra Low Power Active Medical Implants;B14-01-2-2
148.5-255 kHz;C;Not allocated;Inductive applications (148.5-5000 kHz);B06-14-3-1
255-283.5 kHz;C;AERONAUTICAL RADIONAVIGATION;Ultra Low Power Active Medical Implants;B14-01-2-2
255-283.5 kHz;C;AERONAUTICAL RADIONAVIGATION;Inductive applications (148.5-5000 kHz);B06-14-3-1
255-283.5 kHz;C;AERONAUTICAL RADIONAVIGATION;Beacons (aeronautical);
283.5-315 kHz;S;AERONAUTICAL RADIONAVIGATION;Ultra Low Power Active Medical Implants;B14-01-2-2
283.5-315 kHz;S;AERONAUTICAL RADIONAVIGATION;Inductive applications (148.5-5000 kHz);B06-14-3-1
283.5-315 kHz;S;AERONAUTICAL RADIONAVIGATION;Beacons (aeronautical);
283.5-315 kHz;S;AERONAUTICAL RADIONAVIGATION;Beacons (maritime);
283.5-315 kHz;S;AERONAUTICAL RADIONAVIGATION;Defence systems;
283.5-315 kHz;S;MARITIME RADIONAVIGATION;Ultra Low Power Active Medical Implants;B14-01-2-2
283.5-315 kHz;S;MARITIME RADIONAVIGATION;Inductive applications (148.5-5000 kHz);B06-14-3-1
283.5-315 kHz;S;MARITIME RADIONAVIGATION;Beacons (aeronautical);
283.5-315 kHz;S;MARITIME RADIONAVIGATION;Beacons (maritime);
283.5-315 kHz;S;MARITIME RADIONAVIGATION;Defence systems;
315-405 kHz;S;AERONAUTICAL RADIONAVIGATION;Inductive applications (148.5-5000 kHz);B06-14-3-1
315-405 kHz;S;AERONAUTICAL RADIONAVIGATION;Ultra Low Power Animal Implantable Devices;B14-02-2-2
315-405 kHz;S;AERONAUTICAL RADIONAVIGATION;Beacons (aeronautical);
315-405 kHz;S;AERONAUTICAL RADIONAVIGATION;Defence systems;
315-405 kHz;S;AERONAUTICAL RADIONAVIGATION;Inductive applications (400-600 kHz);B06-15-3-1
405-415 kHz;S;RADIONAVIGATION;Inductive applications (148.5-5000 kHz);B06-14-3-1
405-415 kHz;S;RADIONAVIGATION;Ultra Low Power Animal Implantable Devices;B14-02-2-2
405-415 kHz;S;RADIONAVIGATION;Inductive applications;B06-15-3-1
405-415 kHz;S;RADIONAVIGATION;Defence systems;
415-435 kHz;S;AERONAUTICAL RADIONAVIGATION;Inductive applications (148.5-5000 kHz);B06-14-3-1
415-435 kHz;S;AERONAUTICAL RADIONAVIGATION;Ultra Low Power Animal Implantable Devices;B14-02-2-2
415-435 kHz;S;AERONAUTICAL RADIONAVIGATION;Inductive applications;B06-15-3-1
415-435 kHz;S;AERONAUTICAL RADIONAVIGATION;Maritime communications;
415-435 kHz;S;AERONAUTICAL RADIONAVIGATION;Defence systems;
415-435 kHz;S;MARITIME MOBILE;Inductive applications (148.5-5000 kHz);B06-14-3-1
415-435 kHz;S;MARITIME MOBILE;Ultra Low Power Animal Implantable Devices;B14-02-2-2
415-435 kHz;S;MARITIME MOBILE;Inductive applications;B06-15-3-1
415-435 kHz;S;MARITIME MOBILE;Maritime communications;
415-435 kHz;S;MARITIME MOBILE;Defence systems;
435-495 kHz;S;MARITIME MOBILE;Inductive applications (148.5-5000 kHz);B06-14-3-1
435-495 kHz;S;MARITIME MOBILE;Ultra Low Power Animal Implantable Devices;B14-02-2-2
435-495 kHz;S;MARITIME MOBILE;Inductive applications;B06-15-3-1
435-495 kHz;S;MARITIME MOBILE;Maritime communications;
435-495 kHz;S;MARITIME MOBILE;Defence systems;
435-495 kHz;S;MARITIME MOBILE;Emergency detection (456.9-457.1 kHz) (457 kHz);B17-01-2-1
435-495 kHz;S;MARITIME MOBILE;Amateur (472-479 kHz);D02-02-1-1
495-505 kHz;S;MOBILE (distress and calling);Inductive applications (148.5-5000 kHz);B06-14-3-1
495-505 kHz;S;MOBILE (distress and calling);Ultra Low Power Animal Implantable Devices;B14-02-2-2
495-505 kHz;S;MOBILE (distress and calling);Inductive applications;B06-15-3-1
495-505 kHz;S;MOBILE (distress and calling);GMDSS;
495-505 kHz;S;MOBILE (distress and calling);Amateur (501-504 kHz);D02-03-1-1
505-526.5 kHz;S;MARITIME MOBILE;Inductive applications (148.5-5000 kHz);B06-14-3-1
505-526.5 kHz;S;MARITIME MOBILE;Ultra Low Power Animal Implantable Devices;B14-02-2-2
505-526.5 kHz;S;MARITIME MOBILE;Inductive applications;B06-15-3-1
505-526.5 kHz;S;MARITIME MOBILE;Defence systems;
505-526.5 kHz;S;MARITIME MOBILE;Maritime communications;
505-526.5 kHz;S;MARITIME MOBILE;NAVTEX (517.5-518.5 kHz) (GMDSS-SOLAS);C01-01-1-1
505-526.5 kHz;S;MARITIME MOBILE;NAVTEX (517.5-518.5 kHz) (GMDSS-non SOLAS);C02-01-1-1
526.5-1606.5 kHz;C;BROADCASTING;Inductive applications (148.5-5000 kHz);B06-14-3-1
526.5-1606.5 kHz;C;BROADCASTING;Ultra Low Power Animal Implantable Devices (315-600 kHz);B14-02-2-2
526.5-1606.5 kHz;C;BROADCASTING;Inductive applications (400-600 kHz);B06-15-3-1
